                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 0.9155,                0.59155,                 1.1316,                0.83678,                0.73197,                0.79865,                0.53789,                 1.2296,                0.80623,                 1.4443,              0.0013534,              0.0013534,              0.0013534
                     59,                0.90306,                0.56557,                   1.11,                0.81017,                0.71043,                0.79886,                0.52956,                 1.2213,                0.83199,                 1.4326,              0.0013479,              0.0013479,              0.0013479
                     60,                0.89952,                0.57349,                 1.1221,                0.83187,                0.73116,                0.82251,                0.57567,                 1.1207,                0.76254,                 1.3851,              0.0013424,              0.0013424,              0.0013424
                     61,                0.88259,                 0.5662,                 1.1145,                0.84124,                0.74447,                0.84121,                0.58216,                 1.1026,                0.75592,                 1.3553,              0.0013369,              0.0013369,              0.0013369
                     62,                0.88586,                0.56516,                 1.1084,                0.80025,                 0.7515,                 0.8105,                0.54945,                 1.1723,                0.82267,                  1.437,              0.0013314,              0.0013314,              0.0013314
                     63,                0.90861,                0.56964,                 1.1032,                0.79098,                0.73301,                0.81142,                0.56552,                 1.1222,                0.80759,                 1.3989,              0.0013259,              0.0013259,              0.0013259
                     64,                0.88256,                  0.557,                 1.1271,                0.87132,                0.71704,                0.82164,                0.57414,                 1.1282,                0.77847,                 1.3947,              0.0013204,              0.0013204,              0.0013204
                     65,                0.89273,                0.55945,                 1.0986,                0.85689,                 0.7418,                0.83826,                0.59787,                 1.0961,                0.72607,                 1.3661,              0.0013149,              0.0013149,              0.0013149
                     66,                0.87433,                 0.5478,                 1.1049,                0.83402,                 0.7492,                 0.8178,                0.57314,                 1.1175,                0.75914,                 1.3997,              0.0013094,              0.0013094,              0.0013094
                     67,                0.84778,                0.53864,                 1.0646,                0.83608,                 0.7207,                0.79639,                0.57362,                 1.0902,                0.83405,                 1.3604,              0.0013039,              0.0013039,              0.0013039
                     68,                0.85523,                0.54298,                 1.0736,                0.83693,                 0.7699,                0.83081,                0.59984,                 1.0588,                0.75205,                 1.3511,              0.0012984,              0.0012984,              0.0012984
                     69,                0.84474,                0.54035,                 1.0738,                0.83082,                0.75498,                0.82101,                0.59181,                 1.0515,                0.77259,                 1.3406,              0.0012929,              0.0012929,              0.0012929
                     70,                0.85703,                0.55184,                 1.0911,                0.87452,                0.74019,                0.82718,                0.59273,                 1.0337,                0.70754,                 1.3563,              0.0012874,              0.0012874,              0.0012874
                     71,                0.83074,                0.53425,                 1.0793,                0.85815,                0.74577,                0.81132,                0.58485,                 1.0668,                0.79087,                 1.3623,              0.0012819,              0.0012819,              0.0012819
                     72,                0.83871,                0.54885,                 1.0906,                0.85826,                0.73892,                0.82634,                0.60772,                 1.0034,                 0.7411,                  1.322,              0.0012764,              0.0012764,              0.0012764
                     73,                0.82844,                0.52227,                 1.0684,                0.81894,                0.76182,                0.83433,                0.60953,                 1.0143,                0.69408,                 1.3367,              0.0012709,              0.0012709,              0.0012709
                     74,                0.84477,                0.55111,                 1.0901,                0.87643,                0.70676,                0.83002,                0.59027,                 1.0533,                0.73128,                 1.3772,              0.0012654,              0.0012654,              0.0012654
                     75,                0.84683,                0.54841,                 1.0861,                0.79457,                0.77612,                0.82934,                0.58672,                 1.0649,                0.76575,                 1.4048,              0.0012599,              0.0012599,              0.0012599
                     76,                 0.8371,                 0.5212,                 1.0849,                0.80841,                0.77141,                0.81308,                0.58987,                 1.0457,                 0.7507,                 1.3788,              0.0012544,              0.0012544,              0.0012544
                     77,                0.81152,                0.51914,                 1.0745,                0.83008,                  0.772,                0.81944,                0.59992,                 1.0313,                0.74306,                 1.3466,              0.0012489,              0.0012489,              0.0012489
                     78,                0.82826,                0.53027,                 1.0626,                0.86015,                0.76573,                0.83024,                0.60294,                 1.0109,                0.72323,                 1.3258,              0.0012434,              0.0012434,              0.0012434
                     79,                0.81853,                0.51967,                 1.0428,                0.86562,                0.76617,                0.84876,                0.61892,                 1.0069,                0.67701,                 1.3172,              0.0012379,              0.0012379,              0.0012379
                     80,                0.80854,                0.51562,                 1.0548,                0.88408,                0.72995,                0.81348,                0.59342,                 1.0124,                0.75443,                  1.329,              0.0012324,              0.0012324,              0.0012324
                     81,                0.77442,                 0.4892,                  1.029,                0.86679,                0.73379,                0.83004,                0.60041,                 1.0364,                0.74632,                  1.317,              0.0012269,              0.0012269,              0.0012269
                     82,                 0.7942,                0.49009,                 1.0603,                0.88181,                0.73468,                0.83394,                0.60571,                 1.0602,                0.74209,                 1.3596,              0.0012214,              0.0012214,              0.0012214
                     83,                0.78957,                 0.4985,                 1.0535,                0.90275,                0.72155,                0.83241,                0.62204,                0.97438,                0.69015,                 1.3077,              0.0012159,              0.0012159,              0.0012159
